crate_id,name,repository,downloads,revdeps,top_category,popularity_band,is_core,stratum,created_at,latest_version_created_at,latest_version_year
1209233,beetswap,https://github.com/eigerco/beetswap,28421,42,network-programming,mid,0,noncore,2024-04-15 13:17:12.152607+00,2025-09-19 11:55:41.843321+00,2025
1557148,google-cloud-beyondcorp-appgateways-v1,https://github.com/googleapis/google-cloud-rust/tree/main,6310,0,network-programming,mid,0,noncore,2025-02-15 22:27:06.397442+00,2025-11-14 20:55:31.389035+00,2025
1190091,serde_yml,https://github.com/sebastienrousseau/serde_yml,7226025,1786,encoding,high,0,noncore,2024-03-29 13:47:41.460002+00,2024-08-25 16:06:09.793708+00,2024
312418,bytecheck_derive,https://github.com/rkyv/bytecheck,60606985,41,encoding,high,0,noncore,2020-11-14 19:41:36.230925+00,2025-09-29 15:08:14.862193+00,2025
1249520,endian-num,https://github.com/rust-osdev/endian-num,63414,31,encoding,high,0,noncore,2024-05-23 14:05:21.866377+00,2024-10-13 10:31:33.496181+00,2024
693954,pmtiles,https://github.com/stadiamaps/pmtiles-rs,97937,51,science,high,0,noncore,2022-10-21 21:56:32.651552+00,2025-11-13 14:22:41.544121+00,2025
427993,arbitrary-chunks,https://github.com/Nessex/arbitrary-chunks,37552,60,data-structures,mid,0,noncore,2021-07-27 15:04:07.393326+00,2023-02-22 10:48:33.64698+00,2023
348862,tapa-trait-serde-derive,https://github.com/Tapalogi/tapa-common,18210,4,data-structures,mid,0,noncore,2021-01-31 13:08:04.43476+00,2021-12-12 07:40:59.243808+00,2021
750232,sync_cow,https://github.com/w0xel/sync_cow,8278,0,data-structures,mid,0,noncore,2023-01-03 16:08:16.418379+00,2023-01-03 16:13:13.775766+00,2023
357583,contack,https://gitlab.com/john_t/contack,24956,4,data-structures,mid,0,noncore,2021-02-19 14:18:21.139592+00,2022-01-02 15:12:20.636485+00,2022
82498,gapbuf,https://github.com/frozenlib/gapbuf-rs,45326,31,data-structures,mid,0,noncore,2018-09-01 16:10:26.71012+00,2022-08-14 01:14:48.02+00,2022
1323819,mmap-wrapper,https://github.com/mostlymaxi/mmap-wrapper,6123,5,data-structures,mid,0,noncore,2024-08-02 22:18:23.869894+00,2024-09-08 23:45:27.145132+00,2024
232355,pyrpds,https://github.com/arakhmat/pyrpds/,10359,0,data-structures,mid,0,noncore,2020-04-20 23:33:00.599351+00,2020-05-15 04:47:50.280477+00,2020
187252,bufferpool,https://github.com/bennetthardwick/buffer-pool,11053,12,data-structures,mid,0,noncore,2019-12-08 06:52:10.37023+00,2019-12-26 05:11:40.136026+00,2019
808325,data_tree,https://github.com/jrhazlett/data_tree,7560,0,data-structures,mid,0,noncore,2023-03-12 22:29:02.309677+00,2023-03-14 20:09:31.243355+00,2023
549511,apecs-derive,https://github.com/schell/apecs,15348,33,concurrency,mid,0,noncore,2022-03-14 00:44:07.675527+00,2024-03-26 17:19:31.430469+00,2024
1806433,orengine-utils,https://github.com/orengine/orengine-utils,4342,10,concurrency,mid,0,noncore,2025-08-22 14:26:14.912844+00,2025-11-16 14:52:30.517603+00,2025
