crate_id,name,repository,downloads,top_category,all_categories,created_year,updated_year,pop_stratum
783546,s2protocol,https://github.com/sebosp/s2protocol-rs,33417,games,"games,parsing",2025,2025,high
885156,sparse_vec,https://github.com/Atilogit/sparse_vec,1482,uncategorized,,2023,2023,low
113232,aspect-weave,https://github.com/magnet/aspect-rs,3277057,algorithms,"algorithms,config,data-structures,rust-patterns",2020,2020,high
1389940,pert,https://github.com/asteriogonzalez/pert,2011,uncategorized,,2024,2024,low
640101,macro_files,https://github.com/MathieuTricoire/macro_files,4233,filesystem,filesystem,2022,2022,low
1319068,tensor-vipers,https://github.com/saber-hq/vipers,5094,uncategorized,,2024,2024,mid
361907,snarkos-metrics,https://github.com/AleoHQ/snarkOS,29544,cryptography,cryptography,2022,2022,high
345782,css-minify,https://github.com/Mnwa/css-minify,188610,parser-implementations,"parser-implementations,parsing",2024,2024,high
1681734,spacelane,https://github.com/babilonczyk/spacelane,560,aerospace,"aerospace,embedded,no-std",2025,2025,low
387552,qttypes,https://github.com/woboq/qmetaobject-rs,880298,api-bindings,api-bindings,2024,2024,high
794166,bly-ac,https://github.com/Lattexshz/Bly,2756,uncategorized,,2023,2023,low
917313,fs_metadata,https://github.com/andrewgremlich/media_organizer,9470,uncategorized,,2025,2025,mid
608923,tui-textarea,https://github.com/rhysd/tui-textarea,782500,text-editors,"text-editors,text-processing",2024,2024,high
1438362,wrpc-wasi-keyvalue-mem,https://github.com/bytecodealliance/wrpc,1011,wasm,wasm,2024,2024,low
570712,planif,https://github.com/mattrobineau/planif,24295,os,os::windows-apis,2023,2023,mid
302663,reqwest-vcapra1-add-cookies,https://github.com/vcapra1/reqwest,7955,wasm,"wasm,web-programming::http-client",2020,2020,mid
860149,mcvm,https://github.com/CarbonSmasher/mcvm,40728,games,games,2025,2025,high
990101,novax-token,https://github.com/gfusee/novax,59663,uncategorized,,2025,2025,high
1675126,tract-gpu,https://github.com/snipsco/tract,2548,science,science,2025,2025,low
